iter	Passed	Remaining
0	59	8897
1	60	4454
2	60	2965
3	60	2217
4	61	1770
5	61	1482
6	62	1270
7	62	1117
8	63	995
9	64	898
10	64	818
11	65	748
12	65	691
13	66	644
14	66	600
15	67	563
16	67	530
17	68	499
18	68	472
19	68	448
20	69	427
21	70	410
22	71	392
23	71	374
24	72	360
25	72	346
26	72	331
27	73	319
28	73	308
29	74	297
30	75	288
31	75	278
32	76	269
33	76	261
34	77	253
35	77	245
36	78	238
37	78	232
38	79	225
39	79	219
40	80	212
41	80	207
42	81	201
43	81	196
44	82	192
45	82	187
46	83	182
47	83	178
48	84	173
49	85	170
50	85	166
51	86	162
52	86	158
53	87	155
54	87	151
55	88	148
56	88	144
57	89	141
58	90	138
59	90	135
60	90	132
61	91	129
62	92	127
63	92	124
64	93	121
65	93	119
66	94	116
67	94	114
68	95	111
69	95	109
70	96	107
71	96	104
72	97	102
73	98	100
74	98	98
75	99	96
76	99	94
77	100	92
78	100	90
79	101	88
80	102	87
81	102	85
82	103	83
83	103	81
84	104	79
85	104	78
86	105	76
87	105	74
88	106	72
89	107	71
90	107	69
91	108	68
92	108	66
93	109	65
94	109	63
95	110	62
96	110	60
97	111	59
98	112	57
99	112	56
100	113	55
101	114	53
102	114	52
103	115	51
104	116	49
105	116	48
106	117	47
107	118	45
108	118	44
109	119	43
110	119	42
111	120	40
112	120	39
113	121	38
114	122	37
115	122	35
116	123	34
117	123	33
118	124	32
119	124	31
120	125	30
121	125	28
122	126	27
123	127	26
124	127	25
125	128	24
126	129	23
127	129	22
128	130	21
129	131	20
130	131	19
131	132	18
132	133	17
133	133	15
134	134	14
135	135	13
136	135	12
137	135	11
138	136	10
139	136	9
140	137	8
141	137	7
142	138	6
143	138	5
144	139	4
145	139	3
146	140	2
147	140	1
148	141	0
149	141	0
